Sensor/Armadilha;Latitude;Longitude
11008;-11,9250;-56,2870
2031;-13,6570;-56,0580
2040;-13,5360;-56,2740
AR-P01;-13,3640;-53,9510
AR-P02;-13,3380;-53,9470
AR-P03;-13,3510;-54,0100
AR-P04;-13,3330;-53,9810
AR-P05;-13,3030;-53,9930
BR-P01;-14,5740;-58,6890
BR-P11;-14,6200;-58,7180
BR-P13;-14,5860;-58,7250
BR-P18;-14,6100;-58,7630
BR-P24;-14,6310;-58,7510
BS-P05;-16,7870;-53,6500
BT-P01;-10,4750;-45,5040
BT-P02;-10,4660;-45,4900
CD-P08;-12,9890;-56,2040
CD-SEDE;-12,9780;-56,1900
CO-P04;-16,6860;-53,8560
CX-P01;-10,5500;-45,6790
EL-P05;-16,8970;-53,9890
NV-P02;-14,8860;-52,2740
NV-P03;-14,8650;-52,2410
NV-P04;-14,8520;-52,2070
NV-P05;-14,8530;-52,1780
NV-P06;-14,8380;-52,1950
NV-P07;-14,8440;-52,2370
NV-P08;-14,8200;-52,2110
NV-P09;-14,8140;-52,2470
NV-P10;-14,8090;-52,2640
NV-P11;-14,7960;-52,2760
NV-P12;-14,8010;-52,2350
NV-P13;-14,7760;-52,2230
NV-P14;-14,8000;-52,1990
NV-P15;-14,7800;-52,2030
NV-P16;-14,7480;-52,2070
NV-sede;-14,8790;-52,2760
P01-VT;-15,9090;-55,3560
P02-VT;-15,8950;-55,3570
P03-SC;-16,2390;-55,1110
P03-VT;-15,8990;-55,3300
P04-SC;-16,2200;-55,1170
P04-VT;-15,8870;-55,3150
P05-OV;-16,2060;-55,0860
P05-VT;-15,8760;-55,2950
P06-OV;-16,2310;-55,0910
P06-VT;-15,9030;-55,3060
P07-OV;-16,2350;-55,0730
P07-VT;-15,9030;-55,2890
P08-OV;-16,2160;-55,0620
P08-VT;-15,8930;-55,2690
P09-OV;-16,2400;-55,0450
P09-VT;-15,9260;-55,2760
P10-MI08-09-10-11;-16,3870;-55,1000
P10-OV;-16,2220;-55,0410
P10-PS;-15,9720;-55,3090
P11-MI13-15-26;-16,3870;-55,1320
P11-PS;-15,9970;-55,3210
P12-MI14-16-17;-16,4020;-55,1230
P12-PS;-15,9890;-55,3050
P13-MI18-19-20-21;-16,4090;-55,1480
P13-PS;-15,9950;-55,2870
P14-MI23-24-SL02-08;-16,4220;-55,1680
P14-PS;-15,9670;-55,2850
P15-PS;-15,9740;-55,2770
P15-SL04-05-07;-16,4210;-55,1870
P16-PS;-16,0090;-55,2830
P16-SL01-09-PR01-02;-16,3980;-55,1740
P17-PS;-15,9940;-55,2670
P17-SR08-09-14-15;-16,3590;-55,1480
P18-PS;-16,0050;-55,2620
P18-SR12-13-18-19;-16,3540;-55,1650
P19-PS;-15,9880;-55,2360
P19-SR10-11-16-17;-16,3620;-55,1820
P20-PS;-15,9670;-55,2500
P20-SR02-03-05-06;-16,3780;-55,1670
P21-PR03-04-MO01;-16,3950;-55,1930
P21-PS;-15,9440;-55,2530
P22-MO02-03-MS05;-16,3960;-55,2120
P22-PS;-15,9230;-55,2650
P23-MB01-02-FL01-02;-16,3690;-55,2050
P23-PS;-15,9320;-55,2420
P24-FL03-04;-16,3800;-55,2300
P24-PS;-15,9530;-55,2280
P25-FL05-BA01;-16,3920;-55,2530
P25-PS;-15,9480;-55,1990
P26-SL12-13-14;-16,4440;-55,1960
Ptest-01;-14,6050;-57,4930
SD-P09;-13,6490;-52,6560
SD-P10;-13,6430;-52,6400
SD-P11;-13,6340;-52,6460
SD-P11;-13,6350;-52,6340
SI-P01;-16,7440;-53,6690
SI-P02;-16,7290;-53,6490
SI-P03;-16,7420;-53,6310
SI-P04;-16,7050;-53,6620
SI-P05;-16,6960;-53,6280
SI-P06;-16,6840;-53,6110
SI-P07;-16,6800;-53,5720
SO-P03;-10,5580;-45,5970
SP-P10;-16,7510;-54,5420
SS-P07;-14,2960;-56,4650
SS-P08;-14,2080;-56,4880
TM-P01;-13,1700;-56,8180
VE-P08;-10,3660;-45,4780
VE-P09;-10,3730;-45,4960
VE-P10;-10,3480;-45,4870
WS-P11;-10,5070;-45,6350
WS-P12;-10,5210;-45,5970
WS-P13;-10,5040;-45,5910
WS-P14;-10,4970;-45,5570
WS-P15;-10,5080;-45,5030
1004;-13,6650;-55,5260
1005;-13,7330;-55,5080
1006;-13,6750;-55,4750
1007;-13,6440;-55,6340
1008;-13,7260;-55,6360
1009;-13,5780;-55,5430
1010;-13,6730;-56,0600
