Talhão;Código;Latitude;Longitude
AP-01;AL550395Z;-13.17;-56.771
AP-02;AL550396Z;-13.171;-56.79
AP-02-2;AL551919Z;-13.17;-56.776
AP-03;AL550397Z;-13.18;-56.793
AP-04;AL550398Z;-13.184;-56.8
AP-05;AL550399Z;-13.188;-56.765
AP-06;AL550400Z;-13.186;-56.777
AP-07;AL550401Z;-13.19;-56.79
AP-08;AL550402Z;-13.192;-56.8
AP-09;AL550884Z;-13.202;-56.808
AP-10;AL550885Z;-13.203;-56.798
AP-11;AL553699Z;-13.213;-56.804
AP-11;AL550886Z;-13.207;-56.804
AP-12;AL551104Z;-13.211;-56.794
AP-13;AL551105Z;-13.205;-56.786
AP-14;AL551106Z;-13.202;-56.773
AR-01;AL551800Z;-13.342;-53.949
AR-02;AL551801Z;-13.357;-53.956
AR-03;AL552058Z;-13.358;-53.944
AR-04;AL552059Z;-13.371;-53.946
AR-11;AL551802Z;-13.369;-53.964
AR-14;AL551978Z;-13.364;-54.002
AR-18;AL551979Z;-13.356;-54.004
AR-19;AL551803Z;-13.351;-53.972
AR-20;AL551804Z;-13.351;-53.979
AR-21;AL551980Z;-13.349;-53.987
AR-22;AL551981Z;-13.348;-54.007
AR-23;AL551982Z;-13.34;-53.965
AR-24;AL551908Z;-13.34;-53.978
AR-25;AL551983Z;-13.338;-53.987
AR-26;AL551984Z;-13.341;-54.008
AR-27;AL551805Z;-13.334;-53.943
AR-28;AL553697Z;-13.332;-53.952
AR-28;AL551806Z;-13.331;-53.952
AR-29;AL551985Z;-13.325;-53.961
AR-30;AL553885Z;-13.332;-53.963
AR-30;AL551986Z;-13.33;-53.968
AR-31;AL551987Z;-13.327;-53.985
AR-32;AL551989Z;-13.323;-53.994
AR-33;AL551990Z;-13.32;-53.937
AR-36;AL551991Z;-13.314;-53.976
AR-37;AL551992Z;-13.312;-53.986
AR-38;AL551993Z;-13.309;-53.986
AR-39;AL551994Z;-13.305;-54
AR-40;AL551995Z;-13.299;-54
AR-41;AL551996Z;-13.301;-53.985
AR-42;AL551997Z;-13.299;-53.973
AR-45;AL551998Z;-13.299;-53.934
AR-47;AL554254Z;-13.283;-53.983
AR-47;AL551558Z;-13.283;-53.983
AR-48;AL554255Z;-13.282;-53.977
AR-48;AL551559Z;-13.282;-53.977
AR-50;AL554257Z;-13.347;-53.966
AR-50;AL551560Z;-13.274;-53.993
AR-51;AL554258Z;-13.27;-53.986
AR-51;AL551561Z;-13.27;-53.986
AR-52;AL554259Z;-13.273;-53.977
AR-52;AL551562Z;-13.273;-53.977
AR-54;AL554261Z;-13.256;-54.008
AR-54;AL551563Z;-13.256;-54.008
AR-55;AL554262Z;-13.347;-53.966
AR-55;AL551564Z;-13.257;-53.999
AR-56;AL554263Z;-13.347;-53.966
AR-56;AL551565Z;-13.255;-53.988
AR-57;AL554265Z;-13.347;-53.966
AR-57;AL551566Z;-13.257;-53.974
AR-59;AL554269Z;-13.347;-53.966
AR-59;AL551567Z;-13.244;-54.01
AR-60;AL554270Z;-13.241;-54.002
AR-60;AL551568Z;-13.241;-54.002
AR-64;AL554271Z;-13.347;-53.966
AR-64;AL551569Z;-13.236;-53.952
AR-65;AL554273Z;-13.347;-53.966
AR-65;AL551570Z;-13.235;-53.945
AR-66;AL554274Z;-13.224;-53.946
AR-66;AL551571Z;-13.224;-53.946
AV-01;AL553976Z;-11.905;-56.234
AV-01;AL549990Z;-11.907;-56.22
AV-02;AL553977Z;-11.896;-56.232
AV-02;AL549991Z;-11.896;-56.232
AV-03;AL553978Z;-11.905;-56.234
AV-03;AL549992Z;-11.895;-56.242
AV-04;AL553979Z;-11.885;-56.231
AV-04;AL549993Z;-11.885;-56.231
AV-05;AL553980Z;-11.882;-56.238
AV-05;AL549994Z;-11.882;-56.238
AV-06;AL553981Z;-11.905;-56.234
AV-06;AL549995Z;-11.868;-56.233
AV-07;AL553982Z;-11.869;-56.241
AV-07;AL549996Z;-11.869;-56.241
AV-08;AL553983Z;-11.861;-56.234
AV-08;AL549997Z;-11.861;-56.234
AV-09;AL553984Z;-11.861;-56.242
AV-09;AL549998Z;-11.861;-56.242
AV-10;AL548065Z;-11.888;-56.252
AV-10;AL550403Z;-11.888;-56.252
AV-11;AL553985Z;-11.905;-56.234
AV-11;AL550404Z;-11.898;-56.255
AV-12;AL553986Z;-11.91;-56.253
AV-12;AL550405Z;-11.91;-56.253
AV-13;AL553987Z;-11.91;-56.261
AV-13;AL550406Z;-11.91;-56.261
AV-14;AL553988Z;-11.909;-56.278
AV-14;AL549999Z;-11.909;-56.279
AV-15;AL553989Z;-11.905;-56.234
AV-15;AL550407Z;-11.896;-56.273
AV-16;AL553990Z;-11.892;-56.279
AV-16-1;AL550000Z;-11.894;-56.276
AV-16-2;AL553642Z;-11.892;-56.282
AV-17;AL548059Z;-11.889;-56.286
AV-17;AL550001Z;-11.889;-56.286
AV-18;AL549939Z;-11.872;-56.279
AV-18;AL551799Z;-11.871;-56.274
AV-18;AL550002Z;-11.877;-56.282
AV-19;AL553991Z;-11.905;-56.234
AV-19;AL550003Z;-11.912;-56.288
AV-20;AL553992Z;-11.905;-56.234
AV-20;AL550409Z;-11.912;-56.301
AV-21;AL553993Z;-11.9;-56.289
AV-21;AL550004Z;-11.9;-56.289
AV-22;AL548054Z;-11.901;-56.299
AV-22;AL550410Z;-11.901;-56.299
AV-23;AL553994Z;-11.905;-56.234
AV-23;AL550411Z;-11.891;-56.295
AV-24;AL553995Z;-11.91;-56.314
AV-24;AL550412Z;-11.91;-56.314
AV-25;AL553996Z;-11.905;-56.234
AV-25;AL550413Z;-11.902;-56.315
AV-26;AL553997Z;-11.888;-56.329
AV-26;AL551004Z;-11.888;-56.329
AV-27;AL553998Z;-11.905;-56.234
AV-27;AL550415Z;-11.891;-56.337
AV-28;AL553999Z;-11.905;-56.234
AV-28;AL550416Z;-11.872;-56.315
AV-29;AL554000Z;-11.905;-56.234
AV-29;AL550417Z;-11.875;-56.323
AV-31;AL554001Z;-11.905;-56.234
AV-31;AL550418Z;-11.867;-56.379
AV-P1;AL548063Z;-11.896;-56.268
AV-P1;AL550005Z;-11.896;-56.268
AZ-01;AL554229Z;-10.467;-45.48
AZ-01;AL552002Z;-10.467;-45.48
AZ-01;AL549843Z;-10.467;-45.48
BA-01-1;AL551117Z;-16.393;-55.262
BA-01-2;AL550909Z;-16.396;-55.254
BE-01;AL554073Z;-12.91;-56.359
BE-01-1;AL550111Z;-12.91;-56.359
BE-01-2;AL553677Z;-12.907;-56.373
BE-02;AL554074Z;-11.933;-56.299
BE-02;AL550112Z;-12.896;-56.358
BE-03;AL554075Z;-12.886;-56.351
BE-03;AL550114Z;-12.886;-56.351
BE-04;AL554076Z;-12.87;-56.348
BE-04;AL550115Z;-12.87;-56.348
BE-05;AL554077Z;-12.839;-56.357
BE-05;AL550118Z;-12.839;-56.357
BE-06;AL554078Z;-12.855;-56.362
BE-06;AL550119Z;-12.855;-56.362
BE-07;AL554079Z;-12.867;-56.363
BE-07;AL550009Z;-12.867;-56.363
BE-08;AL554080Z;-12.879;-56.367
BE-08;AL550010Z;-12.879;-56.367
BE-09;AL548099Z;-12.892;-56.37
BE-09;AL550120Z;-12.892;-56.37
BE-10;AL548102Z;-12.897;-56.378
BE-10;AL550121Z;-12.897;-56.378
BE-11;AL554081Z;-12.896;-56.399
BE-11;AL550013Z;-12.896;-56.399
BE-12;AL554082Z;-12.903;-56.403
BE-12;AL550014Z;-12.903;-56.403
BE-13;AL554083Z;-12.916;-56.401
BE-13-1;AL550015Z;-12.916;-56.395
BE-13-2;AL551810Z;-12.915;-56.403
BE-14;AL550880Z;-12.916;-56.383
BE-15;AL554084Z;-12.911;-56.369
BE-15;AL550881Z;-12.922;-56.377
BE-16;AL554085Z;-12.924;-56.363
BE-16;AL550016Z;-12.924;-56.363
BE-17;AL554086Z;-12.882;-56.397
BE-17;AL550123Z;-12.882;-56.397
BE-18;AL554087Z;-12.876;-56.393
BE-18;AL550124Z;-12.876;-56.393
BE-19;AL554088Z;-12.864;-56.392
BE-19;AL550126Z;-12.864;-56.392
BE-20;AL554089Z;-12.852;-56.393
BE-20;AL550017Z;-12.852;-56.393
BE-21;AL554090Z;-12.84;-56.394
BE-21;AL550128Z;-12.84;-56.394
BE-22;AL554091Z;-12.911;-56.369
BE-22;AL550130Z;-12.841;-56.38
BE-23;AL554092Z;-12.826;-56.394
BE-23;AL550131Z;-12.826;-56.394
BE-24;AL550018Z;-12.911;-56.369
BE-24;AL550134Z;-12.826;-56.387
BE-25;AL554093Z;-12.911;-56.369
BE-25;AL550136Z;-12.826;-56.376
BJ-01;AL553886Z;-16.793;-54.123
BJ-01;AL550023Z;-16.793;-54.123
BJ-02;AL553887Z;-16.787;-54.113
BJ-02;AL550024Z;-16.787;-54.113
BJ-03;AL553888Z;-16.793;-54.088
BJ-03;AL551811Z;-16.793;-54.088
BJ-04;AL553889Z;-16.787;-54.092
BJ-04;AL550026Z;-16.785;-54.095
BJ-05;AL553890Z;-16.798;-54.119
BJ-05;AL551876Z;-16.79;-54.079
BJ-06;AL553891Z;-16.773;-54.091
BJ-06;AL550028Z;-16.773;-54.091
BJ-07;AL553892Z;-16.798;-54.119
BJ-07;AL550029Z;-16.776;-54.083
BJ-08;AL553893Z;-16.778;-54.072
BJ-08;AL550030Z;-16.778;-54.072
BJ-09;AL553894Z;-16.788;-54.066
BJ-09;AL550420Z;-16.788;-54.066
BR-01;AL554248Z;-14.568;-58.693
BR-01;AL553549Z;-14.574;-58.702
BR-01;AL550031Z;-14.568;-58.692
BR-02;AL550044Z;-14.58;-58.689
BR-03;AL550150Z;-14.583;-58.696
BR-04;AL554249Z;-14.595;-58.689
BR-04;AL550152Z;-14.595;-58.689
BR-05;AL554250Z;-14.58;-58.702
BR-05;AL550917Z;-14.609;-58.678
BR-05;AL551359Z;-14.609;-58.675
BR-06;AL551011Z;-14.619;-58.659
BR-06;AL551812Z;-14.622;-58.663
BR-07;AL549933Z;-14.633;-58.661
BR-07;AL551120Z;-14.633;-58.672
BR-07;AL551813Z;-14.632;-58.661
BR-08;AL550032Z;-14.599;-58.7
BR-09;AL550033Z;-14.61;-58.707
BR-10;AL550034Z;-14.607;-58.719
BR-11;AL550154Z;-14.608;-58.731
BR-12;AL553270Z;-14.581;-58.708
BR-12;AL550035Z;-14.581;-58.708
BR-13;AL553271Z;-14.587;-58.718
BR-13;AL550036Z;-14.587;-58.718
BR-14;AL550037Z;-14.59;-58.728
BR-15;AL548364Z;-14.58;-58.702
BR-15;AL550161Z;-14.596;-58.736
BR-16;AL550162Z;-14.599;-58.746
BR-17;AL550164Z;-14.612;-58.755
BR-18;AL550827Z;-14.62;-58.766
BR-19;AL550427Z;-14.6;-58.757
BR-20;AL550165Z;-14.604;-58.773
BR-21;AL554251Z;-14.58;-58.702
BR-21;AL550046Z;-14.606;-58.784
BR-22;AL550428Z;-14.606;-58.784
BR-22-1;AL553711Z;-14.606;-58.784
BR-22-2;AL553712Z;-14.606;-58.784
BS-01;AL552750Z;-16.847;-53.642
BS-01;AL550430Z;-16.836;-53.63
BS-02;AL552751Z;-16.847;-53.642
BS-02;AL550431Z;-16.837;-53.638
BS-03;AL553878Z;-16.847;-53.642
BS-03;AL551118Z;-16.839;-53.649
BS-04;AL551037Z;-16.837;-53.655
BS-05;AL553879Z;-16.847;-53.642
BS-05;AL550432Z;-16.82;-53.639
BS-06;AL553880Z;-16.847;-53.642
BS-06;AL550433Z;-16.824;-53.647
BS-07;AL553881Z;-16.847;-53.642
BS-07;AL550434Z;-16.804;-53.638
BS-08;AL553882Z;-16.847;-53.642
BS-08;AL550435Z;-16.809;-53.652
BS-09;AL553895Z;-16.804;-53.655
BS-09;AL550436Z;-16.794;-53.645
BS-10;AL553896Z;-16.804;-53.655
BS-10;AL550437Z;-16.796;-53.655
BS-11;AL553897Z;-16.804;-53.655
BS-11;AL550438Z;-16.779;-53.646
BS-12;AL553898Z;-16.804;-53.655
BS-12;AL550439Z;-16.819;-53.66
BS-13;AL552752Z;-16.847;-53.642
BS-13;AL550440Z;-16.834;-53.666
BS-14;AL552753Z;-16.847;-53.642
BS-14;AL551119Z;-16.825;-53.678
BT-01;AL552886Z;-10.47;-45.496
CA-01;AL553968Z;-16.756;-53.746
CA-01-1;AL550443Z;-16.847;-53.975
CA-01-2;AL553542Z;-16.847;-53.973
CA-02;AL553969Z;-16.756;-53.746
CA-02;AL552040Z;-16.849;-53.97
CA-02;AL550444Z;-16.849;-53.97
CA-03;AL553970Z;-16.863;-53.983
CA-03;AL550445Z;-16.851;-53.984
CA-04;AL553971Z;-16.863;-53.983
CA-04;AL550446Z;-16.857;-53.976
CA-05;AL553910Z;-16.863;-53.983
CA-05;AL550447Z;-16.858;-53.989
CA-06;AL553911Z;-16.863;-53.983
CA-06;AL551820Z;-16.862;-53.983
CA-07;AL553912Z;-16.863;-53.983
CA-07;AL550449Z;-16.867;-54.006
CB-01;AL554094Z;-12.911;-56.369
CB-01;AL550168Z;-12.867;-56.336
CB-02;AL554095Z;-12.911;-56.369
CB-02;AL550169Z;-12.863;-56.343
CB-03;AL554096Z;-12.911;-56.369
CB-03;AL550170Z;-12.854;-56.344
CD-01;AL554002Z;-12.979;-56.192
CD-01;AL550171Z;-12.982;-56.186
