Sensor/Armadilha;Latitude;Longitude
11008;-11.925;-56.287
2031;-13.657;-56.058
2040;-13.536;-56.274
AR-P01;-13.364;-53.951
AR-P02;-13.338;-53.947
AR-P03;-13.351;-54.01
AR-P04;-13.333;-53.981
AR-P05;-13.303;-53.993
BR-P01;-14.574;-58.689
BR-P11;-14.62;-58.718
BR-P13;-14.586;-58.725
BR-P18;-14.61;-58.763
BR-P24;-14.631;-58.751
BS-P05;-16.787;-53.65
BT-P01;-10.475;-45.504
BT-P02;-10.466;-45.49
CD-P08;-12.989;-56.204
CD-SEDE;-12.978;-56.19
CO-P04;-16.686;-53.856
CX-P01;-10.55;-45.679
EL-P05;-16.897;-53.989
NV-P02;-14.886;-52.274
NV-P03;-14.865;-52.241
NV-P04;-14.852;-52.207
NV-P05;-14.853;-52.178
NV-P06;-14.838;-52.195
NV-P07;-14.844;-52.237
NV-P08;-14.82;-52.211
NV-P09;-14.814;-52.247
NV-P10;-14.809;-52.264
NV-P11;-14.796;-52.276
NV-P12;-14.801;-52.235
NV-P13;-14.776;-52.223
NV-P14;-14.8;-52.199
NV-P15;-14.78;-52.203
NV-P16;-14.748;-52.207
NV-sede;-14.879;-52.276
P01-VT;-15.909;-55.356
P02-VT;-15.895;-55.357
P03-SC;-16.239;-55.111
P03-VT;-15.899;-55.33
P04-SC;-16.22;-55.117
P04-VT;-15.887;-55.315
P05-OV;-16.206;-55.086
P05-VT;-15.876;-55.295
P06-OV;-16.231;-55.091
P06-VT;-15.903;-55.306
P07-OV;-16.235;-55.073
P07-VT;-15.903;-55.289
P08-OV;-16.216;-55.062
P08-VT;-15.893;-55.269
P09-OV;-16.24;-55.045
P09-VT;-15.926;-55.276
P10-MI08-09-10-11;-16.387;-55.1
P10-OV;-16.222;-55.041
P10-PS;-15.972;-55.309
P11-MI13-15-26;-16.387;-55.132
P11-PS;-15.997;-55.321
P12-MI14-16-17;-16.402;-55.123
P12-PS;-15.989;-55.305
P13-MI18-19-20-21;-16.409;-55.148
P13-PS;-15.995;-55.287
